;Наименование вида расходов;Направление расходов;Отнесено;Дата проведения
25;Оплата потребления электроэнергии;Расходы прошлого года. Оплата потребления электроэнергии СВЕТЛАНСКАЯ 69  ст.132.0111;9498.58;01.02.2016
27;Оплата потребления электроэнергии;Расходы прошлого года. Оплата потребления электроэнергии ул. Мордовцева, 6.  ст.132.0111;16294.01;10.02.2016
29;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;32149.6;24.02.2016
30;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;36805.9;23.03.2016
31;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;27244.49;21.04.2016
32;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;24548.76;20.05.2016
33;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;16395.39;22.06.2016
34;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;18571.6;20.07.2016
35;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;21284.13;22.08.2016
36;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;25783.55;20.09.2016
37;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;19323.32;19.10.2016
38;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;22620.11;18.11.2016
39;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;24923.78;22.12.2016
40;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;35202.42;28.12.2016
42;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;21330.22;24.02.2016
43;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;24348.71;23.03.2016
44;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;21696.45;21.04.2016
45;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;25386.78;20.05.2016
46;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;22238.08;22.06.2016
47;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;-57.5;15.07.2016
48;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;-357.85;15.07.2016
49;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;24761.95;20.07.2016
50;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;18901.52;22.08.2016
51;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;27978.35;20.09.2016
52;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;24070.43;19.10.2016
53;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;26939.06;18.11.2016
54;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;36385.02;22.12.2016
55;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;28150.31;28.12.2016
57;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;43823.03;24.02.2016
58;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;57772.95;23.03.2016
59;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;85789.6;21.04.2016
60;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;59434.67;20.05.2016
61;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;57805.84;22.06.2016
62;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;64211.98;20.07.2016
63;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;81513.7;22.08.2016
64;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;115784.99;20.09.2016
65;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;80516.19;19.10.2016
66;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;81987.72;18.11.2016
67;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;54683.64;22.12.2016
68;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;112974.62;28.12.2016
70;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;137072.75;24.02.2016
71;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;132878.31;23.03.2016
72;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;108043.53;21.04.2016
73;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;127718.94;20.05.2016
74;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;98614.15;22.06.2016
75;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;104257.55;20.07.2016
76;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;103055.13;22.08.2016
77;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;108321.24;20.09.2016
78;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;99655.08;19.10.2016
79;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;116900.92;18.11.2016
80;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;122763.88;22.12.2016
81;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;121247.72;28.12.2016
83;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1678.67;24.02.2016
84;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2059.43;23.03.2016
85;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1280.48;21.04.2016
86;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2172.36;20.05.2016
87;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1643.16;22.06.2016
88;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1956.33;20.07.2016
89;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1529.15;22.08.2016
90;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2080.87;20.09.2016
91;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1901.07;19.10.2016
92;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1979.06;18.11.2016
93;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2032.14;22.12.2016
94;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1686;28.12.2016
96;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;213.32;24.02.2016
97;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;157.77;23.03.2016
98;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;183.99;21.04.2016
99;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;288.54;20.05.2016
100;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;530.33;22.06.2016
101;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;818.28;20.07.2016
102;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;698.48;22.08.2016
103;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;298.62;20.09.2016
104;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;223.07;19.10.2016
105;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;3424.62;18.11.2016
106;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;1250.2;22.12.2016
107;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;-246.99;26.12.2016
108;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;204.12;28.12.2016
110;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;361369.1;24.02.2016
111;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;331971.11;23.03.2016
112;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;276974.04;21.04.2016
113;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;320861.04;20.05.2016
114;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;248059.3;22.06.2016
115;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;280067.57;20.07.2016
116;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;259103.29;22.08.2016
117;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;357000.04;20.09.2016
118;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;281206.36;19.10.2016
119;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;286463.15;18.11.2016
120;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;-1336.34;16.12.2016
121;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;299764.9;22.12.2016
122;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;199017;28.12.2016
124;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;9993.64;25.02.2016
125;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;12511.15;24.03.2016
126;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;11209.74;27.04.2016
127;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;12192.9;24.05.2016
128;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;14037.41;27.06.2016
129;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;12572.14;22.07.2016
130;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;11381.56;23.08.2016
131;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;17255.34;20.09.2016
132;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;11604.5;19.10.2016
133;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;11393.13;21.11.2016
134;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;17350.05;21.12.2016
136;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;40086.49;04.03.2016
137;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;42955.32;07.04.2016
138;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;29279.99;05.05.2016
139;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;41152.36;06.06.2016
140;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;26018.36;29.06.2016
141;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;29940.77;29.07.2016
142;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;30912.15;31.08.2016
143;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;44852.28;06.10.2016
144;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;29793.45;02.11.2016
145;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;35233.84;28.11.2016
146;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;36510.24;27.12.2016
148;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;15214.35;09.03.2016
149;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;14382.23;25.03.2016
150;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;13558.73;11.05.2016
151;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;14301.09;01.06.2016
152;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;13827.78;29.06.2016
153;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;15326.01;05.08.2016
154;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;13529.4;09.09.2016
155;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;13222.01;10.10.2016
156;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;13688.28;10.11.2016
157;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;16529.78;07.12.2016
158;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;17243.92;29.12.2016
160;Оплата потребления электроэнергии;Расходы прошлого года.Оплата потребления электроэнергии здание с.В-Надеждинское ст.132.0111;12203.57;27.01.2016
164;Оплата потребления тепловой энергии;Расходы прошлого года.Оплата потребления тепловой энергии СВЕТЛАНСКАЯ 69  ст.132.0112;35333.39;01.02.2016
