;Наименование вида расходов;Направление расходов;Отнесено;Дата проведения
20;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;663.4;10.01.2019
21;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.97;14.01.2019
22;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.17;07.02.2019
23;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;488.15;08.02.2019
24;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;413.05;07.03.2019
25;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.17;12.03.2019
26;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.17;05.04.2019
27;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;588.28;08.04.2019
28;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.17;08.05.2019
29;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;550.73;15.05.2019
30;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;926.23;07.06.2019
31;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.17;13.06.2019
32;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;375.5;09.07.2019
33;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.17;15.07.2019
34;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;13.27;08.08.2019
35;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;832.65;08.08.2019
36;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;614.25;02.09.2019
37;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;13.27;05.09.2019
38;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;505.05;02.10.2019
39;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;13.27;17.10.2019
40;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;750.75;06.11.2019
41;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;13.27;08.11.2019
42;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;709.8;05.12.2019
43;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;13.27;10.12.2019
44;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;737.1;27.12.2019
46;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;64.4;14.01.2019
47;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;65.49;07.02.2019
48;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;65.49;12.03.2019
49;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;65.49;05.04.2019
50;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;65.49;08.05.2019
51;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;65.49;13.06.2019
