;Наименование вида расходов;Направление расходов;Отнесено;Дата проведения
52;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;65.49;15.07.2019
53;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;67.26;08.08.2019
54;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;67.26;05.09.2019
55;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;67.26;17.10.2019
56;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;67.26;08.11.2019
57;Расходы на коммунальные услуги;Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;67.26;10.12.2019
59;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1637.27;14.01.2019
60;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;16500.49;08.02.2019
61;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;14181.24;11.03.2019
62;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12357.34;08.04.2019
63;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;9404.18;15.05.2019
64;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;3383.98;10.06.2019
65;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;3568.08;09.07.2019
66;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;4567.15;08.08.2019
67;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;3535.17;11.09.2019
68;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;4415.56;09.10.2019
69;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;3377.74;11.11.2019
70;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11588.89;10.12.2019
72;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1340.72;10.01.2019
73;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.09;14.01.2019
74;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.3;07.02.2019
75;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;986.7;08.02.2019
76;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;834.9;07.03.2019
77;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.3;12.03.2019
78;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.3;05.04.2019
79;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1189.1;08.04.2019
80;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.3;08.05.2019
81;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1113.2;15.05.2019
82;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1872.2;07.06.2019
83;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.3;13.06.2019
84;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;759;09.07.2019
85;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.3;15.07.2019
86;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.79;08.08.2019
87;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1604.81;08.08.2019
88;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1183.88;02.09.2019
89;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.79;05.09.2019
90;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;973.41;02.10.2019
91;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.79;17.10.2019
92;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1446.96;06.11.2019
93;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.79;08.11.2019
94;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1368.03;05.12.2019
95;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.79;10.12.2019
96;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1420.65;27.12.2019
98;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;404.4;14.01.2019
99;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1365.36;18.01.2019
100;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;411.28;07.02.2019
101;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1141.18;19.02.2019
102;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;411.28;12.03.2019
103;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1118.76;19.03.2019
104;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;411.28;05.04.2019
105;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1345.5;22.04.2019
106;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;411.28;08.05.2019
107;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1298.16;21.05.2019
108;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;411.28;13.06.2019
109;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1597.16;18.06.2019
110;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;411.28;15.07.2019
111;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;3882.02;19.07.2019
112;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;418.15;08.08.2019
113;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;732.13;20.08.2019
114;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;418.15;05.09.2019
115;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1086.8;18.09.2019
116;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;418.15;17.10.2019
117;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1335.07;21.10.2019
118;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;418.15;08.11.2019
119;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;2249.6;21.11.2019
120;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;418.15;10.12.2019
121;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1069.07;18.12.2019
130;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;14.78;10.01.2019
131;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;15.02;08.02.2019
132;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;15.02;07.03.2019
133;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;15.02;08.04.2019
134;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;15.02;15.05.2019
135;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;15.02;07.06.2019
136;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;15.02;09.07.2019
137;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;16.38;08.08.2019
138;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;15.88;02.09.2019
139;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;16.38;02.10.2019
140;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;16.38;06.11.2019
141;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;16.38;05.12.2019
142;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;16.38;27.12.2019
144;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;738.68;10.01.2019
145;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;1081.73;08.02.2019
146;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;931.49;07.03.2019
147;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;646.04;08.04.2019
148;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;856.37;15.05.2019
149;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;826.32;07.06.2019
150;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;1246.99;09.07.2019
151;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;1359.54;08.08.2019
152;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;842.08;02.09.2019
153;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;819;02.10.2019
154;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;819;06.11.2019
155;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;950.04;05.12.2019
156;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам ул. Светланская, 73  (Столовая) -  ст.134.1100;1015.56;27.12.2019
158;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;519.13;14.01.2019
159;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;2241.52;08.02.2019
160;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;2250.17;11.03.2019
161;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;1791.48;08.04.2019
162;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;1003.92;15.05.2019
163;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;268.3;10.06.2019
164;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;54.66;09.07.2019
165;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;7;08.08.2019
166;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;50.37;11.09.2019
167;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;17.72;09.10.2019
168;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;6.53;11.11.2019
169;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;1417.96;10.12.2019
171;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;4686.25;14.01.2019
172;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;17001.68;08.02.2019
173;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;14267.42;11.03.2019
174;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;11888.12;08.04.2019
175;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;8235.91;15.05.2019
176;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1461.02;10.06.2019
177;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1268.79;09.07.2019
178;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1443.61;08.08.2019
179;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1587.97;11.09.2019
180;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;360.79;09.10.2019
181;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;631.55;11.11.2019
182;Расходы на коммунальные услуги;Оплата за тепловую энергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;10792.79;10.12.2019
184;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;29.85;10.01.2019
185;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;30.36;08.02.2019
186;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;30.36;07.03.2019
187;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;30.36;08.04.2019
188;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;30.36;15.05.2019
189;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;30.36;07.06.2019
190;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;30.36;09.07.2019
191;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;31.57;08.08.2019
192;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;31.12;02.09.2019
193;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;31.57;02.10.2019
194;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;31.57;06.11.2019
195;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;31.57;05.12.2019
196;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;31.57;27.12.2019
198;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1492.7;10.01.2019
199;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;2185.92;08.02.2019
200;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1882.32;07.03.2019
201;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1305.48;08.04.2019
202;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1730.52;15.05.2019
203;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1669.8;07.06.2019
204;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;2519.88;09.07.2019
205;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;2620.48;08.08.2019
206;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1650.01;02.09.2019
207;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1578.6;02.10.2019
208;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1578.6;06.11.2019
209;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1831.19;05.12.2019
210;Расходы на коммунальные услуги;Оплата за холодное водоснабжение  по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;1957.46;27.12.2019
212;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;4774.11;18.01.2019
213;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;2549.87;19.02.2019
214;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;5915.33;19.03.2019
215;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;1237.75;22.04.2019
216;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;6659.87;21.05.2019
217;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;4232.04;18.06.2019
218;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;7467.15;19.07.2019
219;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;4195.97;20.08.2019
220;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;6618.21;18.09.2019
221;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;1563.6;21.10.2019
222;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;7368.23;21.11.2019
223;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 71 (Буфет) -  ст.134.1100;2677.89;18.12.2019
225;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;27161.87;18.01.2019
226;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;20475.36;19.02.2019
227;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;33420.75;19.03.2019
228;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;23684.15;22.04.2019
229;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;30955.33;21.05.2019
230;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;20290.62;18.06.2019
231;Расходы на коммунальные услуги;Оплата за электроэнергию по тарифам ул. Светланская, 73 (Столовая) -  ст.134.1100;30871.73;19.07.2019
