;Наименование вида расходов;Направление расходов;Отнесено;Дата проведения
25;Оплата потребления электроэнергии;Оплата потребления электроэнергии г. Артем, ул. Дзержинского, 14 ст.132.0111;56086.84;20.11.2017
26;Оплата потребления электроэнергии;Оплата потребления электроэнергии г. Артем, ул. Дзержинского, 14 ст.132.0111;21691.77;20.12.2017
28;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;7994.83;19.04.2017
29;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;8462.33;19.05.2017
30;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;7770.67;21.06.2017
31;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;14771.84;20.07.2017
32;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;17882.54;18.08.2017
33;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;16036.16;19.09.2017
34;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;18000;23.10.2017
35;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;24461.86;20.11.2017
36;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73А ст.132.0111;11145.56;19.12.2017
38;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;109032.09;19.01.2017
39;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;367813.25;20.02.2017
40;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;348550.69;17.03.2017
41;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;332672.76;19.04.2017
42;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;318718.64;19.05.2017
43;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;310065.36;21.06.2017
44;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;333160.4;20.07.2017
45;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;374983.75;18.08.2017
46;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;395046.08;19.09.2017
47;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;350757.27;23.10.2017
48;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;329240.03;20.11.2017
49;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;347953.42;19.12.2017
50;Оплата потребления электроэнергии;Оплата потребления электроэнергии пр-т Океанский, 34  ст.132.0111;-1228.53;26.12.2017
52;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;17523.38;19.01.2017
53;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;7263.59;20.02.2017
54;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;17716.51;20.03.2017
55;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;11127.62;18.04.2017
56;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;16458.58;18.05.2017
57;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;13108.9;20.06.2017
58;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;15410.06;18.07.2017
59;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;17121.47;18.08.2017
60;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;16906.62;19.09.2017
61;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;15759.1;18.10.2017
62;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;15800.38;20.11.2017
63;Оплата потребления электроэнергии;Оплата потребления электроэнергии с.Вольно-Надеждинское, ул.Пушкина, 59. ст.132.0111;16569.03;20.12.2017
65;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;36067.68;19.01.2017
66;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;15292.61;20.02.2017
67;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;95837.16;17.03.2017
68;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;77236.64;19.04.2017
69;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;48653.04;19.05.2017
70;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;58460.46;21.06.2017
71;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;67417.76;20.07.2017
72;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;95986.86;18.08.2017
73;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;123431.54;19.09.2017
74;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;78489.76;23.10.2017
75;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;62036.19;20.11.2017
76;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;-315.13;04.12.2017
77;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;89519.96;19.12.2017
78;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;-506.74;29.12.2017
79;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 пристройка ст.132.0111;-42.66;29.12.2017
81;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;38028.98;19.01.2017
82;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;121994.04;20.02.2017
83;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;133127.07;17.03.2017
84;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;119135.34;19.04.2017
85;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;122367.63;19.05.2017
86;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;120326.91;21.06.2017
87;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;121290.61;20.07.2017
88;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;117784.72;18.08.2017
89;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;130249.49;19.09.2017
90;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;127110.61;23.10.2017
91;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;138792.52;20.11.2017
92;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;-203.01;04.12.2017
93;Оплата потребления электроэнергии;Оплата потребления электроэнергии Светланская, 71 ст.132.0111;141265.9;19.12.2017
95;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;477.53;19.01.2017
96;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1661.07;20.02.2017
97;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2087.41;17.03.2017
98;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1699.09;19.04.2017
99;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1888.59;19.05.2017
100;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1754.26;21.06.2017
101;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1995.26;20.07.2017
102;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2628.93;18.08.2017
103;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2798.2;19.09.2017
104;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2667.12;23.10.2017
105;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;2575.44;20.11.2017
106;Оплата потребления электроэнергии;Оплата потребления электроэнергии Склад Фонтанная, 19 ст.132.0111;1769.33;19.12.2017
108;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;148.66;19.01.2017
109;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;409.07;20.02.2017
110;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;1370.02;17.03.2017
111;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;200.76;19.04.2017
112;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;753.46;19.05.2017
113;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;856.85;21.06.2017
114;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;238.33;20.07.2017
115;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;344.33;18.08.2017
116;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;310.52;19.09.2017
117;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;389.89;23.10.2017
118;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;240.46;20.11.2017
119;Оплата потребления электроэнергии;Оплата потребления электроэнергии Убежище Семеновская, 29а ст.132.0111;262.26;19.12.2017
121;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;8141.06;19.01.2017
122;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;30356.6;20.02.2017
123;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;5968.23;17.03.2017
124;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;13546.67;19.04.2017
125;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;26469.28;19.05.2017
126;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;26992.81;21.06.2017
127;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;24477.85;20.07.2017
128;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;34989.73;18.08.2017
129;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;29371.93;19.09.2017
130;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;28638.72;23.10.2017
131;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;32199.54;20.11.2017
132;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;31713.66;19.12.2017
133;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Калинина, 261 ст.132.0111;-218.45;28.12.2017
135;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;18255.05;03.02.2017
136;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;16968.49;07.03.2017
137;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;19390.76;07.04.2017
138;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;18036.83;04.05.2017
139;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;16094.17;25.05.2017
140;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;16551.32;07.07.2017
141;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;16065.42;07.08.2017
142;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;16630.34;01.09.2017
143;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;17675.93;09.10.2017
144;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;17585.43;08.11.2017
145;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Мордовцева, 6 ст.132.0111;21776.86;30.11.2017
147;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;44195.2;30.01.2017
148;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;28591.36;01.03.2017
149;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;41789.32;27.03.2017
150;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;29247.45;27.04.2017
151;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;39834.28;30.05.2017
152;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;31835.03;29.06.2017
153;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;37829.4;26.07.2017
154;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;46760.1;29.08.2017
155;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;54246.97;02.10.2017
156;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;42742.59;27.10.2017
157;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;40492.48;04.12.2017
158;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул. Светланска, 69 ст.132.0111;38113.85;26.12.2017
160;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;10636.12;19.01.2017
161;Оплата потребления электроэнергии;Оплата потребления электроэнергии ул.Светланская, 73 ст.132.0111;17731.18;20.02.2017
