;Наименование вида расходов;Направление расходов;Отнесено;Дата проведения
24;Оплата потребления электроэнергии;ЗО ЗО. ДГУ. Оплата за электроэнергию по тарифам  ул.Мордовцева, 6;13920.02;13.01.2022
26;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;226.79;19.01.2021
27;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;161.12;20.02.2021
28;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;115.67;22.03.2021
29;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;126.38;21.04.2021
30;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;341.56;20.05.2021
31;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;63.29;22.06.2021
32;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;121.25;21.07.2021
33;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;125.06;23.08.2021
34;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;127.08;23.09.2021
35;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам  ул.Пушкинская, 8б;4113.48;20.10.2021
37;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам с.Вл-Александровское, ул.Седова, 32;186.77;20.01.2021
38;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам с.Вл-Александровское, ул.Седова, 32;173.5;19.03.2021
39;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам с.Вл-Александровское, ул.Седова, 32;183.25;26.04.2021
40;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам с.Вл-Александровское, ул.Седова, 32;164.45;19.05.2021
41;Оплата потребления электроэнергии;134.1000.01 ДГУ. Оплата за электроэнергию по тарифам с.Вл-Александровское, ул.Седова, 32;170.87;21.06.2021
